INFO:     Started server process [30024]
INFO:     Waiting for application startup.
2026-04-05 07:44:30,881  INFO      app.main — Initialising KTZ Locomotive Telemetry Server…
2026-04-05 07:44:30,886  WARNING   aiokafka — Unable to request metadata from "localhost:9092": KafkaConnectionError: Connection at localhost:9092 closed
2026-04-05 07:44:32,949  INFO      app.broker — Kafka topic ensured: topic=ktz.locomotive.events partitions=100 replication_factor=1
2026-04-05 07:44:32,951  INFO      app.broker — Kafka topic partitioning ready: topic=ktz.locomotive.events current_partitions=100 target_partitions=100
2026-04-05 07:44:33,063  INFO      app.broker — Kafka producer started: localhost:9092, topic=ktz.locomotive.events
2026-04-05 07:44:33,067  INFO      app.main — Initial telemetry frame and health index generated.
2026-04-05 07:44:33,067  INFO      app.main — 6 background tasks started.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:3109 (Press CTRL+C to quit)
2026-04-05 07:44:33,074  WARNING   aiokafka.producer.sender — Got error produce response on topic-partition TopicPartition(topic='ktz.locomotive.events', partition=46), retrying. Error: <class 'aiokafka.errors.NotLeaderForPartitionError'>
2026-04-05 07:44:56,654  INFO      app.broker — Kafka producer published 100 messages to topic=ktz.locomotive.events
2026-04-05 07:45:20,350  INFO      app.broker — Kafka producer published 200 messages to topic=ktz.locomotive.events
2026-04-05 07:45:43,638  INFO      app.broker — Kafka producer published 300 messages to topic=ktz.locomotive.events
2026-04-05 07:46:07,709  INFO      app.broker — Kafka producer published 400 messages to topic=ktz.locomotive.events
2026-04-05 07:46:31,146  INFO      app.broker — Kafka producer published 500 messages to topic=ktz.locomotive.events
2026-04-05 07:46:54,358  INFO      app.broker — Kafka producer published 600 messages to topic=ktz.locomotive.events
2026-04-05 07:47:18,030  INFO      app.broker — Kafka producer published 700 messages to topic=ktz.locomotive.events
2026-04-05 07:47:41,517  INFO      app.broker — Kafka producer published 800 messages to topic=ktz.locomotive.events
2026-04-05 07:48:04,787  INFO      app.broker — Kafka producer published 900 messages to topic=ktz.locomotive.events
2026-04-05 07:48:28,623  INFO      app.broker — Kafka producer published 1000 messages to topic=ktz.locomotive.events
2026-04-05 07:48:52,735  INFO      app.broker — Kafka producer published 1100 messages to topic=ktz.locomotive.events
2026-04-05 07:49:16,310  INFO      app.broker — Kafka producer published 1200 messages to topic=ktz.locomotive.events
2026-04-05 07:49:40,093  INFO      app.broker — Kafka producer published 1300 messages to topic=ktz.locomotive.events
2026-04-05 07:50:03,736  INFO      app.broker — Kafka producer published 1400 messages to topic=ktz.locomotive.events
2026-04-05 07:50:27,494  INFO      app.broker — Kafka producer published 1500 messages to topic=ktz.locomotive.events
2026-04-05 07:50:51,390  INFO      app.broker — Kafka producer published 1600 messages to topic=ktz.locomotive.events
2026-04-05 07:51:14,590  INFO      app.broker — Kafka producer published 1700 messages to topic=ktz.locomotive.events
2026-04-05 07:51:38,742  INFO      app.broker — Kafka producer published 1800 messages to topic=ktz.locomotive.events
2026-04-05 07:52:02,321  INFO      app.broker — Kafka producer published 1900 messages to topic=ktz.locomotive.events
2026-04-05 07:52:25,835  INFO      app.broker — Kafka producer published 2000 messages to topic=ktz.locomotive.events
2026-04-05 07:52:49,625  INFO      app.broker — Kafka producer published 2100 messages to topic=ktz.locomotive.events
2026-04-05 07:53:13,401  INFO      app.broker — Kafka producer published 2200 messages to topic=ktz.locomotive.events
2026-04-05 07:53:37,101  INFO      app.broker — Kafka producer published 2300 messages to topic=ktz.locomotive.events
2026-04-05 07:54:00,733  INFO      app.broker — Kafka producer published 2400 messages to topic=ktz.locomotive.events
2026-04-05 07:54:24,178  INFO      app.broker — Kafka producer published 2500 messages to topic=ktz.locomotive.events
2026-04-05 07:54:47,813  INFO      app.broker — Kafka producer published 2600 messages to topic=ktz.locomotive.events
2026-04-05 07:55:11,205  INFO      app.broker — Kafka producer published 2700 messages to topic=ktz.locomotive.events
2026-04-05 07:55:34,381  INFO      app.broker — Kafka producer published 2800 messages to topic=ktz.locomotive.events
2026-04-05 07:55:58,187  INFO      app.broker — Kafka producer published 2900 messages to topic=ktz.locomotive.events
2026-04-05 07:56:21,498  INFO      app.broker — Kafka producer published 3000 messages to topic=ktz.locomotive.events
2026-04-05 07:56:44,785  INFO      app.broker — Kafka producer published 3100 messages to topic=ktz.locomotive.events
2026-04-05 07:57:08,847  INFO      app.broker — Kafka producer published 3200 messages to topic=ktz.locomotive.events
2026-04-05 07:57:32,676  INFO      app.broker — Kafka producer published 3300 messages to topic=ktz.locomotive.events
2026-04-05 07:57:56,032  INFO      app.broker — Kafka producer published 3400 messages to topic=ktz.locomotive.events
2026-04-05 07:58:19,707  INFO      app.broker — Kafka producer published 3500 messages to topic=ktz.locomotive.events
