INFO:     Started server process [29995]
INFO:     Waiting for application startup.
2026-04-05 07:44:30,876  INFO      app.main — Initialising KTZ Locomotive Telemetry Server…
2026-04-05 07:44:30,881  WARNING   aiokafka — Unable to request metadata from "localhost:9092": KafkaConnectionError: Connection at localhost:9092 closed
2026-04-05 07:44:32,946  INFO      app.broker — Kafka topic ensured: topic=ktz.locomotive.events partitions=100 replication_factor=1
2026-04-05 07:44:32,948  INFO      app.broker — Kafka topic partitioning ready: topic=ktz.locomotive.events current_partitions=100 target_partitions=100
2026-04-05 07:44:33,061  INFO      app.broker — Kafka producer started: localhost:9092, topic=ktz.locomotive.events
2026-04-05 07:44:33,067  INFO      app.main — Initial telemetry frame and health index generated.
2026-04-05 07:44:33,068  INFO      app.main — 6 background tasks started.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:3108 (Press CTRL+C to quit)
2026-04-05 07:44:33,074  WARNING   aiokafka.producer.sender — Got error produce response on topic-partition TopicPartition(topic='ktz.locomotive.events', partition=2), retrying. Error: <class 'aiokafka.errors.NotLeaderForPartitionError'>
2026-04-05 07:44:56,909  INFO      app.broker — Kafka producer published 100 messages to topic=ktz.locomotive.events
2026-04-05 07:45:20,608  INFO      app.broker — Kafka producer published 200 messages to topic=ktz.locomotive.events
2026-04-05 07:45:43,903  INFO      app.broker — Kafka producer published 300 messages to topic=ktz.locomotive.events
2026-04-05 07:46:07,709  INFO      app.broker — Kafka producer published 400 messages to topic=ktz.locomotive.events
2026-04-05 07:46:31,398  INFO      app.broker — Kafka producer published 500 messages to topic=ktz.locomotive.events
2026-04-05 07:46:54,613  INFO      app.broker — Kafka producer published 600 messages to topic=ktz.locomotive.events
2026-04-05 07:47:18,284  INFO      app.broker — Kafka producer published 700 messages to topic=ktz.locomotive.events
2026-04-05 07:47:41,876  INFO      app.broker — Kafka producer published 800 messages to topic=ktz.locomotive.events
2026-04-05 07:48:05,046  INFO      app.broker — Kafka producer published 900 messages to topic=ktz.locomotive.events
2026-04-05 07:48:28,623  INFO      app.broker — Kafka producer published 1000 messages to topic=ktz.locomotive.events
2026-04-05 07:48:52,734  INFO      app.broker — Kafka producer published 1100 messages to topic=ktz.locomotive.events
2026-04-05 07:49:16,310  INFO      app.broker — Kafka producer published 1200 messages to topic=ktz.locomotive.events
2026-04-05 07:49:39,833  INFO      app.broker — Kafka producer published 1300 messages to topic=ktz.locomotive.events
2026-04-05 07:50:03,684  INFO      app.broker — Kafka producer published 1400 messages to topic=ktz.locomotive.events
2026-04-05 07:50:27,236  INFO      app.broker — Kafka producer published 1500 messages to topic=ktz.locomotive.events
2026-04-05 07:50:51,132  INFO      app.broker — Kafka producer published 1600 messages to topic=ktz.locomotive.events
2026-04-05 07:51:14,483  INFO      app.broker — Kafka producer published 1700 messages to topic=ktz.locomotive.events
2026-04-05 07:51:38,231  INFO      app.broker — Kafka producer published 1800 messages to topic=ktz.locomotive.events
2026-04-05 07:52:01,809  INFO      app.broker — Kafka producer published 1900 messages to topic=ktz.locomotive.events
2026-04-05 07:52:25,068  INFO      app.broker — Kafka producer published 2000 messages to topic=ktz.locomotive.events
2026-04-05 07:52:49,067  INFO      app.broker — Kafka producer published 2100 messages to topic=ktz.locomotive.events
2026-04-05 07:53:12,625  INFO      app.broker — Kafka producer published 2200 messages to topic=ktz.locomotive.events
2026-04-05 07:53:36,082  INFO      app.broker — Kafka producer published 2300 messages to topic=ktz.locomotive.events
2026-04-05 07:53:59,709  INFO      app.broker — Kafka producer published 2400 messages to topic=ktz.locomotive.events
2026-04-05 07:54:23,242  INFO      app.broker — Kafka producer published 2500 messages to topic=ktz.locomotive.events
2026-04-05 07:54:46,545  INFO      app.broker — Kafka producer published 2600 messages to topic=ktz.locomotive.events
2026-04-05 07:55:10,191  INFO      app.broker — Kafka producer published 2700 messages to topic=ktz.locomotive.events
2026-04-05 07:55:33,556  INFO      app.broker — Kafka producer published 2800 messages to topic=ktz.locomotive.events
2026-04-05 07:55:56,916  INFO      app.broker — Kafka producer published 2900 messages to topic=ktz.locomotive.events
2026-04-05 07:56:20,464  INFO      app.broker — Kafka producer published 3000 messages to topic=ktz.locomotive.events
2026-04-05 07:56:44,279  INFO      app.broker — Kafka producer published 3100 messages to topic=ktz.locomotive.events
2026-04-05 07:57:08,077  INFO      app.broker — Kafka producer published 3200 messages to topic=ktz.locomotive.events
2026-04-05 07:57:31,905  INFO      app.broker — Kafka producer published 3300 messages to topic=ktz.locomotive.events
2026-04-05 07:57:55,511  INFO      app.broker — Kafka producer published 3400 messages to topic=ktz.locomotive.events
2026-04-05 07:58:19,536  INFO      app.broker — Kafka producer published 3500 messages to topic=ktz.locomotive.events
